subject,horizon,condition,A,B,sigma
26,6,unequal,4.129021782159246,-0.6291537987297027,18.49535137285294
27,1,equal,23.852617856835387,9.346104044682804,49.99999999990747
27,6,unequal,20.523242442328797,2.2752978394144883,49.999999999880295
28,1,equal,-11.654981238479976,-5.079187798102622,35.5302908524278
28,6,unequal,-9.751694091604458,-4.08450829003689,49.99999999999979
29,1,equal,5.494071636065704,0.16313711891761146,4.005901382988591
29,6,unequal,0.68078091372444,-1.129041603011525,1.0023956172322497
30,1,equal,-3.193199567600854,-2.625887561034016,25.44684276989608
30,6,unequal,5.071507283119203,0.05236257390602869,47.075205433079525
31,1,equal,-4.478679841786213,-2.948180588091569,49.99999999999911
31,6,unequal,22.169714150539466,6.215513278789809,29.204479100940862
32,1,equal,-11.931713324148802,-5.189711339920835,44.70027249113243
32,6,unequal,27.28187789227065,8.130996836657028,49.99999999999998
33,1,equal,-2.4989637499873845,-2.273429284155378,4.819783724729203
33,6,unequal,-0.9117622007658722,-1.6819012975725025,2.158790652616096
34,1,equal,5.374693914939199,0.13495753767037375,10.654394776583048
34,6,unequal,1.9941089043966211,-0.9394232609901167,12.379249238560089
35,1,equal,0.008777066260276918,-1.455898264415993,3.123918749329897
35,6,unequal,3.4720983365760034,-0.47594594790705785,5.350920660515031
36,1,equal,7.157741296215803,0.38322761157634055,49.99999999977223
36,6,unequal,15.18863343212789,0.35175484248503686,49.99999999999999
37,1,equal,-0.9908490133154187,-1.8450784160961633,13.53395154839019
37,6,unequal,9.97566918045265,1.8049375847097975,24.36874138002647
38,1,equal,-0.2672462585329344,-1.7317301812349188,5.374806223409603
38,6,unequal,1.6722590901587124,-1.0428537139006224,8.638520725764955
39,1,equal,-15.915295082063379,-6.438574166577602,41.50915719326787
39,6,unequal,-5.536416918255182,-3.245481279835621,27.583460274912614
40,1,equal,3.2138446533189207,0.4017509360385255,49.999999999975465
40,6,unequal,18.60093153093087,4.8536301242658935,49.99999999989314
41,1,equal,2.4773319670217906,-0.7611145382503636,5.8446053746189905
41,6,unequal,4.630019111968128,-0.11635572729723534,10.493213219999978
42,1,equal,-2.2834582830993595,-5.25705676397455,49.99999999999999
42,6,unequal,-5.403674391165117,-0.7902673903674275,49.99999999999983
43,1,equal,-0.019992347465766384,-1.487139020320766,3.0858489932429127
43,6,unequal,-0.3027114121956038,-1.6476351409337235,6.965918981461974
44,1,equal,0.3834670934376508,-1.4840263143354018,33.80044308228104
44,6,unequal,-21.39468876838333,-8.126642684098915,49.9999999999891
45,1,equal,0.871379559409876,-1.0776531355290855,0.29937648505911774
45,6,unequal,-0.7040488018653118,-1.617079110332907,1.493596974168798
46,1,equal,0.026843319347202722,-1.5081158562808832,2.2636995999775764
46,6,unequal,4.982902835015752,0.05091330507503568,2.9949982353972397
