expt_name,replicationFlag,subjectID,order,age,iswoman,sessionNumber,game,gameLength,uc,m1,m2,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,23.000000,10.000000,3.000000,60.428571,51.555556,52.000000,67.000000,49.000000,51.000000,56.000000,55.000000,44.000000,54.000000,53.000000,54.000000,2.000000,1.000000,2.000000,2.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,NaN,NaN,NaN,NaN,0.158905,0.158905,0.124958,0.158618,0.200963,0.159968
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,24.000000,10.000000,2.000000,26.125000,39.125000,41.000000,21.000000,20.000000,40.000000,33.000000,41.000000,35.000000,43.000000,20.000000,39.000000,2.000000,1.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,1.000000,NaN,NaN,NaN,NaN,0.374743,0.374743,0.092269,0.092322,0.141821,0.141927
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,25.000000,5.000000,3.000000,31.500000,22.500000,29.000000,11.000000,17.000000,38.000000,34.000000,NaN,NaN,NaN,NaN,NaN,1.000000,2.000000,2.000000,2.000000,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.291649,NaN,NaN,NaN,NaN,NaN
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,26.000000,10.000000,2.000000,58.125000,52.375000,43.000000,44.000000,52.000000,59.000000,55.000000,64.000000,51.000000,62.000000,56.000000,60.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,NaN,NaN,NaN,NaN,0.215392,0.215392,0.125104,0.125162,0.234488,0.166673
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,27.000000,10.000000,2.000000,39.125000,19.250000,41.000000,21.000000,39.000000,18.000000,38.000000,37.000000,41.000000,34.000000,33.000000,50.000000,1.000000,2.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,NaN,NaN,NaN,0.301195,0.301195,0.175369,0.265582,0.150788,0.251251
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,28.000000,10.000000,3.000000,29.285714,40.444444,44.000000,26.000000,30.000000,36.000000,30.000000,49.000000,34.000000,21.000000,45.000000,29.000000,2.000000,2.000000,1.000000,2.000000,1.000000,2.000000,2.000000,1.000000,2.000000,1.000000,NaN,NaN,NaN,NaN,0.307033,0.307033,1.064255,1.752003,0.281049,0.083744
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,29.000000,5.000000,1.000000,49.000000,57.500000,58.000000,47.000000,61.000000,53.000000,38.000000,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000,2.000000,1.000000,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.346636,NaN,NaN,NaN,NaN,NaN
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,30.000000,10.000000,2.000000,32.625000,40.375000,51.000000,39.000000,42.000000,32.000000,30.000000,56.000000,50.000000,42.000000,28.000000,45.000000,2.000000,1.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,NaN,NaN,NaN,NaN,0.209893,0.209893,0.174367,0.017168,0.083537,0.017006
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,31.000000,5.000000,1.000000,42.500000,48.000000,43.000000,43.000000,35.000000,41.000000,51.000000,NaN,NaN,NaN,NaN,NaN,2.000000,1.000000,1.000000,1.000000,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.300090,NaN,NaN,NaN,NaN,NaN
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,32.000000,10.000000,2.000000,19.500000,41.750000,48.000000,13.000000,16.000000,44.000000,22.000000,49.000000,15.000000,36.000000,29.000000,43.000000,2.000000,1.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,2.000000,2.000000,NaN,NaN,NaN,NaN,0.300029,0.300029,0.158628,0.058543,0.125095,0.539664
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,33.000000,5.000000,1.000000,53.250000,59.000000,57.000000,52.000000,62.000000,53.000000,56.000000,NaN,NaN,NaN,NaN,NaN,1.000000,1.000000,2.000000,1.000000,2.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.441800,NaN,NaN,NaN,NaN,NaN
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,34.000000,10.000000,1.000000,60.666667,41.285714,54.000000,66.000000,41.000000,65.000000,56.000000,56.000000,55.000000,63.000000,73.000000,58.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,NaN,NaN,NaN,0.157372,0.157372,0.250086,0.199900,0.175281,0.142829
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,35.000000,5.000000,3.000000,47.000000,46.000000,50.000000,35.000000,55.000000,54.000000,45.000000,NaN,NaN,NaN,NaN,NaN,2.000000,2.000000,1.000000,2.000000,2.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.234064,NaN,NaN,NaN,NaN,NaN
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,36.000000,10.000000,2.000000,40.875000,58.125000,46.000000,57.000000,38.000000,64.000000,39.000000,38.000000,52.000000,54.000000,57.000000,51.000000,1.000000,2.000000,1.000000,2.000000,1.000000,1.000000,2.000000,1.000000,2.000000,2.000000,NaN,NaN,NaN,NaN,0.233552,0.233552,0.209778,0.141798,0.200717,0.166821
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,37.000000,10.000000,3.000000,21.428571,39.888889,26.000000,34.000000,41.000000,34.000000,41.000000,37.000000,48.000000,47.000000,34.000000,43.000000,1.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,NaN,NaN,NaN,NaN,0.283394,0.283394,0.208577,0.199554,0.050285,0.409927
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,38.000000,10.000000,1.000000,35.666667,39.428571,44.000000,19.000000,27.000000,37.000000,38.000000,54.000000,34.000000,24.000000,29.000000,35.000000,1.000000,1.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,NaN,NaN,NaN,NaN,0.217890,0.217890,0.218746,0.181430,0.067187,0.050147
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,39.000000,5.000000,3.000000,26.500000,42.000000,44.000000,23.000000,50.000000,43.000000,31.000000,NaN,NaN,NaN,NaN,NaN,2.000000,1.000000,2.000000,2.000000,2.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.249784,NaN,NaN,NaN,NaN,NaN
