subject,age,gender,block,value_option0,value_option1,uncertainty,trial,reward,RT,choice,forced,mask,horizon
1001.0,26,0,16,36,40,0,9,41,0.016804,1,0,0,6
1001.0,26,0,17,60,52,0,0,56,-99.0,1,1,1,1
1001.0,26,0,17,60,52,0,1,52,-99.0,1,1,1,1
1001.0,26,0,17,60,52,0,2,56,-99.0,0,1,1,1
1001.0,26,0,17,60,52,0,3,55,-99.0,0,1,1,1
1001.0,26,0,17,60,52,0,4,52,0.767408,0,0,0,1
1001.0,26,0,18,60,52,0,0,62,-99.0,0,1,1,6
1001.0,26,0,18,60,52,0,1,45,-99.0,0,1,1,6
1001.0,26,0,18,60,52,0,2,44,-99.0,1,1,1,6
1001.0,26,0,18,60,52,0,3,48,-99.0,1,1,1,6
1001.0,26,0,18,60,52,0,4,65,0.450792,0,0,0,6
1001.0,26,0,18,60,52,0,5,54,0.767277,0,0,0,6
1001.0,26,0,18,60,52,0,6,73,0.567667,0,0,0,6
1001.0,26,0,18,60,52,0,7,62,0.38482,0,0,0,6
1001.0,26,0,18,60,52,0,8,75,0.250482,0,0,0,6
1001.0,26,0,18,60,52,0,9,60,0.48355,0,0,0,6
1001.0,26,0,19,52,60,0,0,51,-99.0,1,1,1,6
1001.0,26,0,19,52,60,0,1,39,-99.0,0,1,1,6
1001.0,26,0,19,52,60,0,2,42,-99.0,0,1,1,6
1001.0,26,0,19,52,60,0,3,32,-99.0,1,1,1,6
1001.0,26,0,19,52,60,0,4,30,0.750079,0,0,0,6
1001.0,26,0,19,52,60,0,5,56,0.200291,1,0,0,6
1001.0,26,0,19,52,60,0,6,50,0.217079,0,0,0,6
1001.0,26,0,19,52,60,0,7,42,0.200617,1,0,0,6
1001.0,26,0,19,52,60,0,8,28,0.133619,0,0,0,6
1001.0,26,0,19,52,60,0,9,24,0.11705,0,0,0,6
1001.0,26,0,20,20,40,-1,0,18,-99.0,0,1,1,6
1001.0,26,0,20,20,40,-1,1,36,-99.0,1,1,1,6
1001.0,26,0,20,20,40,-1,2,24,-99.0,0,1,1,6
1001.0,26,0,20,20,40,-1,3,15,-99.0,0,1,1,6
1001.0,26,0,20,20,40,-1,4,22,0.450398,1,0,0,6
1001.0,26,0,20,20,40,-1,5,33,0.25043,0,0,0,6
1001.0,26,0,20,20,40,-1,6,52,0.217178,1,0,0,6
1001.0,26,0,20,20,40,-1,7,34,0.184053,1,0,0,6
1001.0,26,0,20,20,40,-1,8,53,0.100382,1,0,0,6
1001.0,26,0,20,20,40,-1,9,53,0.10043,1,0,0,6
1001.0,26,0,21,28,40,1,0,44,-99.0,1,1,1,6
1001.0,26,0,21,28,40,1,1,26,-99.0,1,1,1,6
1001.0,26,0,21,28,40,1,2,30,-99.0,0,1,1,6
1001.0,26,0,21,28,40,1,3,36,-99.0,1,1,1,6
1001.0,26,0,21,28,40,1,4,30,0.333661,0,0,0,6
1001.0,26,0,21,28,40,1,5,49,0.233157,1,0,0,6
1001.0,26,0,21,28,40,1,6,34,1.133958,1,0,0,6
1001.0,26,0,21,28,40,1,7,21,0.334824,0,0,0,6
1001.0,26,0,21,28,40,1,8,45,0.183484,1,0,0,6
1001.0,26,0,21,28,40,1,9,37,0.300407,1,0,0,6
1001.0,26,0,22,40,32,0,0,35,-99.0,0,1,1,1
1001.0,26,0,22,40,32,0,1,38,-99.0,1,1,1,1
1001.0,26,0,22,40,32,0,2,36,-99.0,0,1,1,1
1001.0,26,0,22,40,32,0,3,28,-99.0,1,1,1,1
1001.0,26,0,22,40,32,0,4,47,0.217209,0,0,0,1
1001.0,26,0,23,40,60,0,0,35,-99.0,0,1,1,1
1001.0,26,0,23,40,60,0,1,53,-99.0,1,1,1,1
1001.0,26,0,23,40,60,0,2,59,-99.0,1,1,1,1
1001.0,26,0,23,40,60,0,3,24,-99.0,0,1,1,1
1001.0,26,0,23,40,60,0,4,70,0.568393,1,0,0,1
1001.0,26,0,24,60,40,0,0,41,-99.0,1,1,1,1
1001.0,26,0,24,60,40,0,1,58,-99.0,0,1,1,1
1001.0,26,0,24,60,40,0,2,40,-99.0,1,1,1,1
1001.0,26,0,24,60,40,0,3,55,-99.0,0,1,1,1
1001.0,26,0,24,60,40,0,4,58,0.300322,0,0,0,1
1001.0,26,0,25,40,36,0,0,35,-99.0,0,1,1,1
1001.0,26,0,25,40,36,0,1,39,-99.0,1,1,1,1
1001.0,26,0,25,40,36,0,2,50,-99.0,0,1,1,1
1001.0,26,0,25,40,36,0,3,40,-99.0,1,1,1,1
1001.0,26,0,25,40,36,0,4,34,0.300325,0,0,0,1
1001.0,26,0,26,20,40,0,0,23,-99.0,0,1,1,6
1001.0,26,0,26,20,40,0,1,24,-99.0,0,1,1,6
1001.0,26,0,26,20,40,0,2,55,-99.0,1,1,1,6
1001.0,26,0,26,20,40,0,3,38,-99.0,1,1,1,6
1001.0,26,0,26,20,40,0,4,12,0.551249,0,0,0,6
1001.0,26,0,26,20,40,0,5,41,0.217075,1,0,0,6
1001.0,26,0,26,20,40,0,6,13,0.200013,0,0,0,6
1001.0,26,0,26,20,40,0,7,37,0.066913,1,0,0,6
1001.0,26,0,26,20,40,0,8,42,0.117625,1,0,0,6
1001.0,26,0,26,20,40,0,9,37,0.283671,1,0,0,6
1001.0,26,0,27,48,60,0,0,36,-99.0,0,1,1,6
1001.0,26,0,27,48,60,0,1,54,-99.0,0,1,1,6
1001.0,26,0,27,48,60,0,2,54,-99.0,1,1,1,6
1001.0,26,0,27,48,60,0,3,79,-99.0,1,1,1,6
1001.0,26,0,27,48,60,0,4,55,0.400805,1,0,0,6
1001.0,26,0,27,48,60,0,5,52,0.250779,1,0,0,6
1001.0,26,0,27,48,60,0,6,65,0.217116,1,0,0,6
1001.0,26,0,27,48,60,0,7,64,0.266601,1,0,0,6
1001.0,26,0,27,48,60,0,8,64,0.251051,1,0,0,6
1001.0,26,0,27,48,60,0,9,57,0.100557,1,0,0,6
1001.0,26,0,28,56,60,1,0,77,-99.0,1,1,1,1
1001.0,26,0,28,56,60,1,1,41,-99.0,0,1,1,1
1001.0,26,0,28,56,60,1,2,58,-99.0,1,1,1,1
1001.0,26,0,28,56,60,1,3,56,-99.0,1,1,1,1
1001.0,26,0,28,56,60,1,4,60,1.135648,1,0,0,1
1001.0,26,0,29,40,60,-1,0,73,-99.0,1,1,1,1
1001.0,26,0,29,40,60,-1,1,54,-99.0,0,1,1,1
1001.0,26,0,29,40,60,-1,2,29,-99.0,0,1,1,1
1001.0,26,0,29,40,60,-1,3,41,-99.0,0,1,1,1
1001.0,26,0,29,40,60,-1,4,75,0.283794,1,0,0,1
1001.0,26,0,30,40,36,0,0,34,-99.0,1,1,1,6
1001.0,26,0,30,40,36,0,1,44,-99.0,0,1,1,6
1001.0,26,0,30,40,36,0,2,34,-99.0,0,1,1,6
1001.0,26,0,30,40,36,0,3,32,-99.0,1,1,1,6
1001.0,26,0,30,40,36,0,4,37,0.333762,1,0,0,6
1001.0,26,0,30,40,36,0,5,28,0.13386,0,0,0,6
1001.0,26,0,30,40,36,0,6,50,0.200935,1,0,0,6
1001.0,26,0,30,40,36,0,7,33,0.250464,1,0,0,6
1001.0,26,0,30,40,36,0,8,20,0.283382,1,0,0,6
1001.0,26,0,30,40,36,0,9,29,0.417206,1,0,0,6
1001.0,26,0,31,52,60,1,0,57,-99.0,0,1,1,1
1001.0,26,0,31,52,60,1,1,48,-99.0,1,1,1,1
1001.0,26,0,31,52,60,1,2,60,-99.0,1,1,1,1
1001.0,26,0,31,52,60,1,3,64,-99.0,1,1,1,1
1001.0,26,0,31,52,60,1,4,68,1.933726,1,0,0,1
1001.0,26,0,32,32,40,0,0,38,-99.0,0,1,1,1
1001.0,26,0,32,32,40,0,1,39,-99.0,0,1,1,1
1001.0,26,0,32,32,40,0,2,36,-99.0,1,1,1,1
1001.0,26,0,32,32,40,0,3,32,-99.0,1,1,1,1
1001.0,26,0,32,32,40,0,4,30,0.316704,0,0,0,1
1001.0,26,0,33,40,60,-1,0,35,-99.0,0,1,1,6
1001.0,26,0,33,40,60,-1,1,41,-99.0,0,1,1,6
1001.0,26,0,33,40,60,-1,2,65,-99.0,1,1,1,6
1001.0,26,0,33,40,60,-1,3,32,-99.0,0,1,1,6
1001.0,26,0,33,40,60,-1,4,75,0.250917,1,0,0,6
1001.0,26,0,33,40,60,-1,5,60,0.033675,1,0,0,6
1001.0,26,0,33,40,60,-1,6,51,0.017318,1,0,0,6
1001.0,26,0,33,40,60,-1,7,40,0.167144,1,0,0,6
1001.0,26,0,33,40,60,-1,8,66,0.201175,1,0,0,6
1001.0,26,0,33,40,60,-1,9,60,0.033809,1,0,0,6
1001.0,26,0,34,60,48,0,0,74,-99.0,0,1,1,6
1001.0,26,0,34,60,48,0,1,43,-99.0,1,1,1,6
1001.0,26,0,34,60,48,0,2,55,-99.0,1,1,1,6
1001.0,26,0,34,60,48,0,3,59,-99.0,0,1,1,6
1001.0,26,0,34,60,48,0,4,43,0.28489,1,0,0,6
1001.0,26,0,34,60,48,0,5,69,0.18385,0,0,0,6
1001.0,26,0,34,60,48,0,6,55,0.033234,0,0,0,6
1001.0,26,0,34,60,48,0,7,63,0.167294,0,0,0,6
1001.0,26,0,34,60,48,0,8,66,0.217619,0,0,0,6
1001.0,26,0,34,60,48,0,9,48,0.333532,0,0,0,6
1001.0,26,0,35,28,40,0,0,41,-99.0,1,1,1,6
1001.0,26,0,35,28,40,0,1,21,-99.0,0,1,1,6
1001.0,26,0,35,28,40,0,2,20,-99.0,0,1,1,6
1001.0,26,0,35,28,40,0,3,40,-99.0,1,1,1,6
1001.0,26,0,35,28,40,0,4,33,0.451207,0,0,0,6
1001.0,26,0,35,28,40,0,5,41,0.416811,1,0,0,6
1001.0,26,0,35,28,40,0,6,39,0.216752,1,0,0,6
1001.0,26,0,35,28,40,0,7,21,0.083823,0,0,0,6
1001.0,26,0,35,28,40,0,8,38,0.16724,1,0,0,6
1001.0,26,0,35,28,40,0,9,35,0.150542,1,0,0,6
1001.0,26,0,36,56,60,0,0,59,-99.0,1,1,1,1
1001.0,26,0,36,56,60,0,1,57,-99.0,0,1,1,1
1001.0,26,0,36,56,60,0,2,55,-99.0,0,1,1,1
1001.0,26,0,36,56,60,0,3,56,-99.0,1,1,1,1
1001.0,26,0,36,56,60,0,4,74,0.134091,1,0,0,1
1001.0,26,0,37,60,56,0,0,43,-99.0,1,1,1,6
1001.0,26,0,37,60,56,0,1,44,-99.0,0,1,1,6
1001.0,26,0,37,60,56,0,2,52,-99.0,1,1,1,6
1001.0,26,0,37,60,56,0,3,59,-99.0,0,1,1,6
